lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi
1,num_islets,18,76.82683,6.561934961830081,74.478267,78.195167
2,Ins_per_islet,4,59.736655,6.599126274548114,59.463253,63.541039
3,WPIC,4,59.732535,6.010250359837852,59.164448,87.661023
4,HOMA_IR_0min,12,75.147681,6.636235057038032,72.846175,79.844595
4,HOMA_IR_0min,13,97.462245,6.78335917122728,96.436273,98.394465
4,HOMA_IR_0min,15,72.661699,6.423236018938928,72.23535,77.426124
4,HOMA_IR_0min,17,72.177507,6.587342258288791,71.485754,87.73504
5,HOMA_B_0min,11,84.95444,10.246737236771457,80.764867,84.95444
5,HOMA_B_0min,11,94.142728,8.401138980898388,91.749571,94.478235
5,HOMA_B_0min,12,75.168727,6.538014987599481,73.608427,77.028816
5,HOMA_B_0min,18,47.130148,6.099928341231538,15.391977,47.422415
6,Glu_tAUC,11,71.782692,6.185468136182961,61.060091,94.220647
7,Ins_tAUC,11,83.594665,11.258840843470958,83.585535,84.95444
8,Glu_6wk,3,5.843185,7.390397309568844,3,9.907714
10,TG_6wk,X,135.388462,6.4417327715919654,37.927497,139.946194
11,Glu_10wk,8,48.435138,6.040469010926739,24.250704,120.579268
12,Ins_10wk,10,115.899454,6.0493952789657985,78.432547,117.979203
12,Ins_10wk,12,79.450744,6.310717831221993,77.159286,97.135996
13,TG_10wk,2,107.367424,6.335945448480932,98.112617,109.629183
13,TG_10wk,5,31.962653,6.358020349672095,28.821205,141.946043
13,TG_10wk,14,55.802312,6.1205867801734515,46.983883,86.148708
15,Ins_14wk,1,135.481336,6.411891748400377,3,136.156743
15,Ins_14wk,5,151.520204,6.746209834898407,149.089094,151.83362
15,Ins_14wk,13,38.450528,6.174212610800595,34.804431,109.38936
15,Ins_14wk,17,31.648772,7.5704370364197455,31.34581,34.961498
16,TG_14wk,2,59.584104,6.941040827627002,57.067889,60.941372
17,food_ave,19,22.638956,6.26698197888709,21.840919,60.056498
18,weight_2wk,2,102.70326,6.8503776686014675,27.192117,105.158368
18,weight_2wk,X,45.989364,7.3151028103660085,39.464858,47.608349
19,weight_6wk,11,11.826027,6.321522681196748,10.411062,16.881123
19,weight_6wk,17,34.565685,6.831975034655324,31.467792,44.523656
19,weight_6wk,X,45.989364,6.373361437109363,39.238338,49.934828
20,weight_10wk,11,11.726117,6.5959138047895145,10.411062,16.881123
20,weight_10wk,17,34.660915,6.942954639187776,31.342886,44.044398
